,essay_index,text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,2759,CA7CE4CE7ED3,4.0,3.5,3.5,3.5,3.0,3.5
1,598,2D508127DEF1,3.0,3.0,4.0,3.0,4.0,4.0
2,599,2D5A9BEEB30D,4.0,4.5,4.0,4.0,4.5,5.0
3,545,29B364A33B4E,2.0,2.0,3.0,2.5,2.5,2.0
4,1284,62654020C48D,3.0,3.0,3.0,3.0,3.0,3.5
5,1811,88860671767F,3.5,3.5,3.5,3.0,3.0,4.0
6,496,257D0126F271,3.5,3.0,3.0,3.0,3.5,3.5
7,3628,F4B3B2CAB030,2.0,2.5,3.0,2.0,2.5,2.5
8,1652,7D955FAD0C73,4.0,4.0,4.0,3.5,3.0,3.0
9,2632,C2FBC10F36E0,2.5,2.0,3.0,3.0,2.5,2.0
10,170,0CFDDC1CF75A,2.0,2.5,2.5,2.5,2.0,2.5
11,558,2AAA5F2F5270,3.5,3.0,3.5,3.0,3.0,3.5
12,3432,EB8030177678,3.0,3.0,3.5,3.0,3.0,3.5
13,3374,E8B836196ADB,2.0,2.5,3.0,2.5,3.0,3.0
14,891,44BD35E3BD1D,3.5,2.5,3.5,2.5,2.5,3.0
15,2230,A6A6C7852F05,3.5,2.5,3.0,3.0,3.0,2.0
16,587,2C7750B811F3,3.0,3.0,4.0,3.0,2.5,3.5
17,248,125C1167A84A,2.0,3.0,3.0,3.0,3.0,2.0
18,1898,8EF3D97E2310,4.0,3.5,4.0,4.0,3.0,3.0
19,33,036042533396,3.5,3.5,3.5,4.0,3.0,4.0
20,1646,7CFA22351B27,3.0,3.5,3.0,3.5,3.5,3.5
21,410,1F3620A2965E,2.5,3.0,3.0,3.5,4.0,3.0
22,1021,4E22E3143561,3.0,3.0,3.5,3.5,3.0,3.5
23,481,248407B5DBB2,2.5,3.5,3.5,3.0,3.5,3.5
24,1850,8B4A210026AD,2.0,2.0,3.5,3.0,3.0,3.5
25,1989,9664D9C4C5F9,3.0,3.5,3.5,3.5,3.5,3.0
26,2760,CA7EF1C7C3FE,3.5,3.5,3.0,3.5,3.0,3.5
27,1357,684166ED2438,1.5,1.5,1.5,1.5,1.5,1.5
28,546,29BB45AA907C,4.0,4.5,4.0,4.0,4.0,4.5
29,3225,E1ACA6A0198E,3.5,3.5,3.5,4.0,4.5,3.5
30,796,3DCF3E6F4A13,2.0,2.5,3.5,3.0,2.5,3.0
31,3384,E8F77B7EB4D9,3.0,2.5,3.5,2.5,3.0,2.5
32,3218,E13F3C0CB738,3.0,3.5,3.5,4.0,3.5,3.0
33,2058,9B23FE314CF5,2.5,2.5,3.0,2.5,2.0,3.0
34,3657,F5A6427C32CA,2.5,2.5,3.5,3.0,2.0,3.0
