,pred,actual,difference
0,3.0913048,3.5,0.4086952209472656
1,2.9594667,3.5,0.5405333042144775
2,3.382421,3.5,0.11757898330688477
3,3.540102,3.0,0.5401020050048828
4,3.9493852,4.0,0.05061483383178711
5,3.0170147,3.5,0.482985258102417
6,3.4347084,3.5,0.0652916431427002
7,2.8364167,3.5,0.6635832786560059
8,2.92672,2.0,0.9267199039459229
9,3.1567967,3.5,0.3432033061981201
10,3.3265657,4.0,0.6734342575073242
11,3.6966505,4.0,0.30334949493408203
12,2.9059296,2.5,0.4059295654296875
13,2.2678242,2.0,0.2678241729736328
14,3.4050024,4.0,0.5949976444244385
15,2.6335208,3.0,0.36647915840148926
16,3.005056,3.0,0.005055904388427734
17,2.3655324,3.0,0.634467601776123
18,3.7407327,3.0,0.7407326698303223
19,2.9027312,2.5,0.40273118019104004
20,2.9480395,2.5,0.44803953170776367
21,3.754452,4.0,0.24554800987243652
22,3.117134,2.0,1.1171340942382812
23,2.6700692,2.0,0.6700692176818848
24,3.593498,3.5,0.09349799156188965
25,2.4624257,2.5,0.03757429122924805
26,3.3864212,3.0,0.38642120361328125
27,3.9659874,3.5,0.4659874439239502
28,3.2580795,3.5,0.24192047119140625
29,2.6858106,2.5,0.18581056594848633
30,2.805878,3.5,0.6941220760345459
31,3.4116464,4.0,0.5883536338806152
32,3.16282,2.5,0.6628201007843018
33,1.9865067,2.0,0.01349329948425293
34,3.964162,3.0,0.9641621112823486
35,3.054835,3.5,0.44516491889953613
36,3.238397,2.5,0.7383968830108643
37,3.713,4.0,0.2869999408721924
38,2.5539055,2.0,0.5539054870605469
39,2.7699952,2.0,0.7699952125549316
40,2.937152,2.5,0.4371519088745117
41,2.7312477,3.0,0.2687523365020752
42,2.9891853,3.0,0.010814666748046875
43,3.9326468,4.0,0.0673532485961914
44,2.2262797,2.5,0.27372026443481445
45,1.8814504,2.0,0.11854958534240723
46,2.8069413,2.5,0.30694127082824707
47,3.7319252,4.0,0.26807475090026855
48,3.0534506,2.0,1.053450584411621
49,4.0597625,4.0,0.05976247787475586
50,3.0638795,3.5,0.43612051010131836
51,3.2861028,2.5,0.7861027717590332
52,3.4272456,3.5,0.0727543830871582
53,3.572148,3.0,0.5721480846405029
54,3.8712478,4.0,0.1287522315979004
55,3.1737223,3.0,0.1737222671508789
56,3.5431085,3.5,0.043108463287353516
57,3.521587,4.0,0.47841310501098633
58,2.7571678,3.5,0.7428321838378906
59,2.8654387,3.0,0.13456130027770996
60,1.98719,1.5,0.48719000816345215
61,2.4873605,2.5,0.012639522552490234
62,3.213263,3.5,0.28673696517944336
63,3.5718408,2.5,1.071840763092041
64,2.4868257,2.5,0.013174295425415039
65,2.700226,2.0,0.7002260684967041
66,2.7917955,2.5,0.2917954921722412
67,2.9768653,3.0,0.023134708404541016
68,2.321879,3.0,0.6781210899353027
69,3.084876,2.5,0.5848760604858398
70,3.0939817,2.5,0.5939817428588867
71,3.1070828,3.5,0.3929171562194824
72,2.7916129,2.5,0.2916128635406494
73,3.5108669,3.0,0.5108668804168701
74,3.747329,4.5,0.7526710033416748
75,2.593065,2.5,0.09306502342224121
76,2.9983335,3.5,0.5016665458679199
77,2.720357,2.0,0.7203569412231445
78,2.3258324,2.5,0.17416763305664062
79,2.0509288,2.0,0.05092883110046387
80,3.183018,3.0,0.18301796913146973
81,2.9230845,3.0,0.07691550254821777
82,3.0434978,3.0,0.04349780082702637
83,2.2689803,2.0,0.2689802646636963
84,3.5087562,3.5,0.008756160736083984
85,3.459154,3.5,0.04084610939025879
86,3.0627458,3.0,0.06274580955505371
87,3.1955607,3.5,0.3044393062591553
88,4.309819,4.5,0.19018077850341797
89,3.5443504,3.5,0.044350385665893555
90,3.7925742,3.5,0.2925741672515869
91,2.6914341,3.0,0.3085658550262451
92,3.2546158,3.0,0.25461578369140625
93,2.6195042,2.5,0.11950421333312988
94,2.7850287,2.5,0.28502869606018066
95,3.5038772,3.5,0.0038771629333496094
96,3.385744,2.5,0.8857440948486328
97,3.0792115,2.5,0.5792114734649658
98,4.028291,4.0,0.02829122543334961
99,3.6590455,4.0,0.3409545421600342
100,3.3607962,4.0,0.6392037868499756
101,2.7393198,2.5,0.2393198013305664
102,3.3049133,3.0,0.3049132823944092
103,2.5507612,2.5,0.05076122283935547
104,2.60422,2.0,0.604219913482666
105,1.9894166,1.0,0.9894165992736816
106,3.2380533,2.5,0.7380533218383789
107,3.476236,2.0,1.47623610496521
108,3.5500119,3.5,0.05001187324523926
109,3.4073105,3.5,0.09268951416015625
110,2.4081204,2.0,0.40812039375305176
111,3.5263114,3.0,0.5263113975524902
112,3.5750923,3.0,0.5750923156738281
113,2.600848,2.5,0.10084795951843262
114,3.4481115,3.0,0.44811153411865234
115,3.10703,3.5,0.39297008514404297
116,2.7779417,2.5,0.2779417037963867
117,2.02322,1.5,0.5232200622558594
118,3.206013,2.0,1.2060129642486572
119,2.8822594,2.5,0.3822593688964844
120,3.0388074,3.5,0.46119260787963867
121,2.7679212,2.0,0.7679212093353271
122,2.8919642,2.5,0.3919641971588135
123,2.2870507,2.5,0.21294927597045898
124,2.9296086,5.0,2.0703914165496826
125,3.6603332,3.0,0.6603331565856934
126,4.3455963,4.5,0.1544036865234375
127,3.2002819,2.5,0.7002818584442139
128,2.9565232,3.0,0.04347681999206543
129,3.4044154,3.5,0.09558463096618652
130,2.9039772,2.5,0.4039771556854248
131,2.4460404,3.0,0.5539596080780029
132,3.596539,3.5,0.09653902053833008
133,2.9838116,2.0,0.983811616897583
134,3.5089974,3.5,0.008997440338134766
135,3.0272388,4.0,0.9727611541748047
136,1.989048,2.0,0.010951995849609375
137,2.9590633,2.5,0.4590632915496826
138,3.0500147,2.5,0.5500147342681885
139,2.9915183,3.5,0.5084817409515381
140,3.716578,3.5,0.21657800674438477
141,3.0104716,2.0,1.0104715824127197
142,2.8703268,2.5,0.3703267574310303
143,2.7263823,3.0,0.2736177444458008
144,3.2513988,4.0,0.7486011981964111
145,2.689788,2.5,0.1897881031036377
146,1.9036219,1.5,0.4036219120025635
147,3.005741,3.0,0.0057408809661865234
148,3.9364135,4.0,0.06358647346496582
149,2.8852937,2.0,0.88529372215271
150,2.8988361,3.5,0.6011638641357422
151,2.671889,3.5,0.828110933303833
152,3.423115,3.5,0.07688498497009277
153,3.1107368,2.5,0.6107368469238281
154,2.8177767,3.0,0.18222332000732422
155,3.1311936,4.0,0.8688063621520996
156,4.36281,4.5,0.1371898651123047
157,3.0059376,3.5,0.4940624237060547
158,3.583485,3.5,0.08348488807678223
159,2.5934787,3.0,0.4065213203430176
160,2.658968,3.0,0.3410320281982422
161,3.9714122,3.5,0.47141218185424805
162,3.5755935,3.0,0.5755934715270996
163,3.7182577,3.5,0.21825766563415527
164,3.5153513,3.0,0.5153512954711914
165,1.8995054,2.5,0.6004946231842041
166,2.9966242,3.0,0.0033757686614990234
167,3.3965917,4.0,0.6034083366394043
168,2.7786028,3.5,0.7213971614837646
169,2.8011982,2.0,0.8011982440948486
170,3.1391509,4.0,0.860849142074585
171,2.3393557,2.0,0.3393557071685791
172,3.2710617,3.5,0.22893834114074707
173,2.942075,3.0,0.05792498588562012
174,3.0221155,2.5,0.5221154689788818
175,3.032569,2.5,0.5325689315795898
176,3.4764543,4.0,0.5235457420349121
177,2.66426,2.0,0.6642599105834961
178,3.172898,4.0,0.8271019458770752
179,2.7272127,2.5,0.22721266746520996
180,3.2950337,3.0,0.29503369331359863
181,3.0632148,3.5,0.4367852210998535
182,2.6037955,3.5,0.8962044715881348
183,2.6000595,2.5,0.10005950927734375
184,3.0025673,2.5,0.5025672912597656
185,3.083746,2.5,0.5837459564208984
186,3.3156662,3.0,0.31566619873046875
187,2.6340687,3.0,0.36593127250671387
188,3.6255195,4.0,0.3744804859161377
189,2.4614801,2.0,0.46148014068603516
190,3.0972984,3.0,0.09729838371276855
191,3.9698687,4.0,0.03013134002685547
192,2.4762473,2.5,0.023752689361572266
193,3.1623886,4.0,0.8376114368438721
194,2.5770798,2.5,0.07707977294921875
195,3.5900786,3.5,0.09007859230041504
196,2.6955965,3.0,0.30440354347229004
197,3.1259634,3.0,0.12596344947814941
198,3.334566,3.5,0.1654338836669922
199,2.8593993,3.5,0.6406006813049316
200,2.372614,2.0,0.37261390686035156
201,3.0987792,2.5,0.5987792015075684
202,3.5430846,3.5,0.04308462142944336
203,3.3139253,4.0,0.6860747337341309
204,2.988764,3.0,0.011235952377319336
205,4.24682,5.0,0.7531800270080566
206,2.0956056,2.0,0.09560561180114746
207,3.04576,2.5,0.545759916305542
208,3.181759,3.0,0.18175911903381348
209,1.9848995,2.5,0.5151004791259766
210,2.7621388,2.5,0.26213884353637695
211,2.7950416,2.5,0.295041561126709
212,2.8497727,3.0,0.15022730827331543
213,3.3935843,3.5,0.1064157485961914
214,3.0232706,3.0,0.023270606994628906
215,3.017246,2.5,0.5172460079193115
216,3.6981962,2.5,1.1981961727142334
217,3.3076882,3.5,0.19231176376342773
218,2.224733,2.0,0.2247331142425537
219,2.9749196,2.0,0.9749195575714111
220,3.2212064,4.0,0.7787935733795166
221,2.9340973,3.0,0.0659027099609375
222,3.197966,3.5,0.3020339012145996
223,3.120975,2.5,0.6209750175476074
224,3.3693275,3.0,0.3693275451660156
225,2.4290824,2.0,0.42908239364624023
226,3.3275213,3.5,0.17247867584228516
227,3.1147282,2.0,1.1147282123565674
228,2.8597739,3.5,0.6402261257171631
229,3.3360386,2.5,0.8360385894775391
230,3.2650218,3.5,0.23497819900512695
231,3.5540016,3.5,0.054001569747924805
232,2.8735719,2.5,0.37357187271118164
233,2.690893,2.5,0.19089293479919434
234,3.163915,2.5,0.6639149188995361
235,2.6028984,2.0,0.602898359298706
236,2.9313273,2.5,0.43132734298706055
237,2.6659553,2.5,0.1659553050994873
238,3.2699203,2.0,1.2699203491210938
239,3.3241808,2.5,0.8241808414459229
240,3.22271,2.5,0.7227098941802979
241,2.709773,2.0,0.709773063659668
242,3.318705,3.0,0.31870508193969727
243,2.7200124,2.5,0.22001242637634277
244,2.8409271,2.0,0.8409271240234375
245,3.3298144,4.0,0.6701855659484863
246,3.4731262,3.5,0.02687382698059082
247,3.7672088,4.0,0.23279118537902832
248,3.6517048,2.5,1.1517047882080078
249,2.325671,2.5,0.17432904243469238
250,2.9842992,2.5,0.4842991828918457
251,2.288362,2.0,0.2883620262145996
252,3.4692562,3.0,0.4692561626434326
253,1.9207628,2.0,0.07923722267150879
254,2.2542458,2.0,0.2542457580566406
255,3.772681,4.0,0.22731900215148926
256,2.6560123,2.0,0.6560122966766357
257,3.5354486,3.5,0.035448551177978516
258,3.185282,3.5,0.31471800804138184
259,2.4947102,2.5,0.005289793014526367
260,3.1179962,3.5,0.3820037841796875
261,2.3657475,2.5,0.13425254821777344
262,2.00659,3.0,0.9934101104736328
263,3.3692415,2.5,0.86924147605896
264,2.418471,2.0,0.418471097946167
265,3.1102247,2.5,0.610224723815918
266,2.6612108,2.0,0.6612107753753662
267,2.2922473,1.5,0.7922472953796387
268,2.6108305,3.0,0.38916945457458496
269,2.90008,3.0,0.09992003440856934
270,3.6888552,4.0,0.3111448287963867
271,3.8268297,4.0,0.1731703281402588
272,2.6959581,2.5,0.19595813751220703
273,2.61328,2.5,0.11328005790710449
274,3.4556417,3.0,0.4556417465209961
275,3.8237123,3.5,0.3237123489379883
276,3.2137065,3.5,0.28629350662231445
277,2.9935894,3.0,0.0064105987548828125
278,2.8457422,3.0,0.15425777435302734
279,3.6118639,3.0,0.6118638515472412
280,3.7278395,3.0,0.727839469909668
281,2.6770318,2.0,0.6770317554473877
282,2.5808318,2.5,0.08083176612854004
283,3.662003,4.0,0.3379969596862793
284,3.5344143,3.5,0.03441429138183594
285,3.2572649,2.5,0.7572648525238037
286,3.2183542,4.0,0.7816457748413086
287,3.380363,3.5,0.11963701248168945
288,3.5730417,3.0,0.5730416774749756
289,2.8249497,3.5,0.6750502586364746
290,3.3996322,3.5,0.10036778450012207
291,3.5193324,4.0,0.4806675910949707
292,2.3904917,2.0,0.3904917240142822
293,2.7996445,2.5,0.29964447021484375
294,3.470636,3.5,0.02936410903930664
295,3.4859173,3.0,0.485917329788208
296,2.7569065,2.0,0.7569065093994141
297,4.175941,4.5,0.32405900955200195
298,2.9997919,3.5,0.5002081394195557
299,3.2699218,3.0,0.26992177963256836
300,2.310107,2.5,0.18989300727844238
301,3.5619724,3.5,0.06197237968444824
302,3.4838452,2.5,0.9838452339172363
303,2.2614827,2.5,0.23851728439331055
304,2.2976058,3.0,0.7023942470550537
305,3.0848732,2.5,0.5848731994628906
306,3.2425938,4.0,0.7574062347412109
307,2.8666604,3.5,0.6333396434783936
308,3.1113322,2.5,0.6113321781158447
309,3.2602322,3.0,0.26023221015930176
310,2.863098,2.5,0.3630979061126709
311,3.2047613,3.5,0.295238733291626
312,2.620156,2.5,0.12015604972839355
313,2.2191544,2.5,0.28084564208984375
314,3.535078,3.5,0.03507804870605469
315,2.5345507,2.5,0.03455066680908203
316,3.5840642,3.0,0.584064245223999
317,3.459902,3.5,0.040097951889038086
318,2.7676358,2.5,0.2676358222961426
319,3.1329339,4.0,0.8670661449432373
320,2.7361748,2.0,0.7361748218536377
321,2.8379612,3.5,0.6620388031005859
322,2.9088504,3.5,0.5911495685577393
323,2.5590305,2.0,0.5590305328369141
324,2.1448643,2.0,0.14486432075500488
325,3.8412266,4.0,0.15877342224121094
326,3.7617536,4.0,0.23824644088745117
327,2.8340774,3.0,0.1659226417541504
328,3.270581,2.5,0.7705810070037842
329,2.8022628,3.0,0.1977372169494629
330,2.9054396,2.0,0.9054396152496338
331,3.260419,3.5,0.23958110809326172
332,2.7709138,3.0,0.22908616065979004
333,2.8587346,2.5,0.3587346076965332
334,2.9669294,3.5,0.5330705642700195
335,2.672815,4.0,1.3271849155426025
336,3.876957,4.0,0.12304306030273438
337,2.6488836,4.0,1.351116418838501
338,2.7051966,2.5,0.20519661903381348
339,3.1580064,2.5,0.6580064296722412
340,3.5482795,4.0,0.4517204761505127
341,2.8424473,3.0,0.15755271911621094
342,3.3121493,3.5,0.1878507137298584
343,4.114837,4.0,0.1148371696472168
344,2.4864898,2.0,0.48648977279663086
345,2.7030854,2.0,0.7030854225158691
346,2.942421,3.0,0.05757904052734375
347,2.5716403,2.5,0.0716402530670166
348,2.4641352,2.0,0.46413516998291016
349,3.2437282,4.0,0.7562718391418457
350,2.5764222,2.5,0.07642221450805664
351,2.270286,2.0,0.27028608322143555
352,2.8443847,3.0,0.15561532974243164
353,3.9565837,5.0,1.0434162616729736
354,2.8705087,3.0,0.12949132919311523
355,3.308642,3.5,0.19135808944702148
356,3.009742,2.5,0.509742021560669
357,2.5690887,2.0,0.5690886974334717
358,3.1014903,2.5,0.6014902591705322
359,3.6370103,3.0,0.6370103359222412
360,2.9001646,3.0,0.09983539581298828
361,3.0526488,4.0,0.9473512172698975
362,2.9874446,2.5,0.4874446392059326
363,2.8744948,2.0,0.8744947910308838
364,3.2133338,2.0,1.2133338451385498
365,3.1835814,3.0,0.18358135223388672
366,3.5715435,3.5,0.07154345512390137
367,2.486718,2.0,0.48671793937683105
368,2.6775947,2.5,0.17759466171264648
369,2.6990597,2.5,0.19905972480773926
370,3.1997042,3.5,0.3002958297729492
371,2.6705716,3.5,0.8294284343719482
372,1.8507397,1.5,0.3507397174835205
373,2.0512145,3.0,0.9487855434417725
374,3.3624222,3.5,0.13757777214050293
375,2.66014,2.5,0.1601400375366211
376,3.56313,3.5,0.06312990188598633
377,2.340496,2.5,0.15950393676757812
378,4.2901535,5.0,0.7098464965820312
379,3.1441498,2.5,0.6441497802734375
380,3.3577652,4.5,1.1422348022460938
381,3.3696973,3.0,0.36969733238220215
382,3.7425497,2.0,1.7425496578216553
383,3.1064339,3.5,0.3935661315917969
384,3.5323603,4.0,0.467639684677124
385,3.695871,3.5,0.19587111473083496
386,3.2911792,3.0,0.29117918014526367
387,2.8060215,3.0,0.19397854804992676
388,2.8972874,2.0,0.8972873687744141
389,3.5671704,2.5,1.0671703815460205
390,3.0317607,3.5,0.46823930740356445
391,3.1229014,3.5,0.37709856033325195
392,3.135517,3.5,0.364483118057251
393,2.389189,2.0,0.3891890048980713
394,4.0525413,5.0,0.9474587440490723
395,3.2046485,3.5,0.295351505279541
396,3.0865219,2.5,0.5865218639373779
397,2.7728612,3.0,0.22713875770568848
398,2.8996007,2.5,0.3996007442474365
399,3.065752,4.0,0.9342479705810547
400,3.1128297,2.5,0.6128296852111816
401,2.4134874,2.5,0.08651256561279297
402,3.0237217,3.0,0.023721694946289062
403,2.9695702,2.0,0.9695701599121094
