,pred,actual,difference
0,3.2244952,3.5,0.27550482749938965
1,3.0807266,3.0,0.08072662353515625
2,3.4421065,3.5,0.05789351463317871
3,3.2023785,3.5,0.297621488571167
4,3.7403767,3.0,0.7403767108917236
5,2.93432,3.0,0.06568002700805664
6,3.3553405,4.0,0.6446595191955566
7,2.9972541,4.0,1.0027458667755127
8,2.9650543,2.5,0.4650542736053467
9,3.1017299,3.0,0.1017298698425293
10,3.1262379,3.5,0.3737621307373047
11,3.5362365,3.0,0.5362365245819092
12,3.0211875,3.0,0.021187543869018555
13,2.33176,2.0,0.3317599296569824
14,3.7464037,3.5,0.24640369415283203
15,2.7932699,2.5,0.2932698726654053
16,2.8297179,2.5,0.32971787452697754
17,2.1639233,2.5,0.3360767364501953
18,3.549301,3.5,0.0493009090423584
19,2.705768,2.0,0.7057681083679199
20,2.9483442,2.5,0.44834423065185547
21,3.4498377,4.0,0.5501623153686523
22,3.2292747,3.0,0.22927474975585938
23,2.414541,2.5,0.08545899391174316
24,3.6222107,3.5,0.12221074104309082
25,2.0856059,3.0,0.9143941402435303
26,3.5006504,3.5,0.0006504058837890625
27,3.7898276,3.5,0.2898275852203369
28,3.6646795,3.0,0.6646795272827148
29,2.9807787,2.5,0.48077869415283203
30,3.0855489,3.0,0.08554887771606445
31,3.1761978,3.5,0.32380223274230957
32,3.2597244,3.5,0.24027562141418457
33,1.844057,2.0,0.15594303607940674
34,3.9149725,2.5,1.4149725437164307
35,3.2202537,4.0,0.7797462940216064
36,3.1729655,3.0,0.17296552658081055
37,3.6370096,4.0,0.3629903793334961
38,2.8042457,2.5,0.3042457103729248
39,2.445806,2.5,0.054193973541259766
40,2.9002674,2.0,0.9002673625946045
41,2.703221,2.5,0.20322108268737793
42,3.1298966,2.5,0.6298966407775879
43,3.6771502,3.5,0.17715024948120117
44,2.096546,2.0,0.09654593467712402
45,1.800038,2.0,0.19996201992034912
46,2.8756394,2.5,0.3756394386291504
47,3.2625105,4.0,0.7374894618988037
48,3.3056448,2.5,0.8056447505950928
49,3.8017542,4.5,0.6982457637786865
50,3.327796,3.0,0.32779598236083984
51,3.3440683,2.5,0.8440682888031006
52,3.226248,3.0,0.22624802589416504
53,3.2454102,3.5,0.2545897960662842
54,3.8549457,3.0,0.8549456596374512
55,3.133935,3.0,0.13393497467041016
56,3.466389,4.0,0.5336110591888428
57,3.1878827,3.5,0.312117338180542
58,2.9427116,3.0,0.057288408279418945
59,2.5592914,2.0,0.5592913627624512
60,1.6111296,2.0,0.38887035846710205
61,2.2082405,2.5,0.2917594909667969
62,3.5206168,3.5,0.020616769790649414
63,3.9333892,3.0,0.9333891868591309
64,2.63071,2.5,0.13070988655090332
65,2.673637,2.5,0.17363691329956055
66,2.8988965,2.5,0.3988964557647705
67,2.9643748,2.5,0.4643747806549072
68,3.3746932,2.5,0.8746931552886963
69,3.1689813,3.0,0.16898131370544434
70,3.1161845,3.5,0.3838155269622803
71,3.0005507,2.0,1.0005507469177246
72,2.5921128,2.5,0.09211277961730957
73,3.3714378,3.0,0.37143778800964355
74,3.7782636,4.5,0.7217364311218262
75,2.8360834,2.0,0.8360834121704102
76,3.1842918,3.0,0.18429183959960938
77,2.8480945,2.5,0.34809446334838867
78,2.402003,2.5,0.09799695014953613
79,1.977224,2.5,0.5227760076522827
80,3.128535,3.0,0.12853503227233887
81,3.2823734,3.0,0.28237342834472656
82,3.376501,3.0,0.37650108337402344
83,2.4464984,2.0,0.44649839401245117
84,3.398421,3.5,0.10157895088195801
85,3.3071673,2.5,0.8071672916412354
86,3.128652,3.0,0.12865209579467773
87,3.1681917,3.5,0.33180832862854004
88,3.8286943,4.0,0.17130565643310547
89,3.492593,3.0,0.49259305000305176
90,3.6906812,4.5,0.8093187808990479
91,2.6283371,3.5,0.8716628551483154
92,3.1137443,3.0,0.11374425888061523
93,2.8662066,3.0,0.13379335403442383
94,2.9683018,3.0,0.03169822692871094
95,3.727671,3.0,0.7276709079742432
96,3.4903355,3.0,0.49033546447753906
97,2.8089695,2.5,0.30896949768066406
98,3.8968413,4.0,0.10315871238708496
99,3.637162,3.0,0.6371619701385498
100,3.4721222,3.0,0.4721221923828125
101,2.5899944,2.0,0.5899944305419922
102,3.4075375,3.0,0.40753746032714844
103,2.7208467,1.5,1.2208466529846191
104,2.6283584,2.0,0.6283583641052246
105,1.8332003,1.0,0.8332003355026245
106,3.173753,3.0,0.173753023147583
107,3.3709905,3.0,0.370990514755249
108,3.571185,3.0,0.5711851119995117
109,3.5031412,3.0,0.5031411647796631
110,2.2943914,2.0,0.294391393661499
111,3.165331,3.0,0.1653308868408203
112,3.498279,3.5,0.0017209053039550781
113,2.8758879,2.5,0.3758878707885742
114,3.424887,3.0,0.42488694190979004
115,2.542803,2.5,0.042803049087524414
116,2.7510555,3.0,0.24894452095031738
117,1.4428377,1.0,0.4428377151489258
118,3.2818565,3.0,0.2818565368652344
119,2.9225125,2.5,0.4225125312805176
120,3.0808413,3.0,0.0808413028717041
121,2.8574305,2.5,0.35743045806884766
122,2.7291317,2.5,0.22913169860839844
123,2.3492298,2.0,0.3492298126220703
124,2.9297607,3.5,0.5702393054962158
125,3.430852,3.5,0.06914806365966797
126,3.9834003,5.0,1.0165996551513672
127,3.2004352,2.0,1.2004351615905762
128,3.0694726,3.0,0.0694725513458252
129,3.194105,4.0,0.8058950901031494
130,3.0974407,3.5,0.4025592803955078
131,2.6310341,2.5,0.13103413581848145
132,3.697969,3.5,0.1979689598083496
133,2.8037708,2.5,0.3037707805633545
134,3.2868435,3.0,0.28684353828430176
135,2.8400671,3.5,0.6599328517913818
136,1.7271057,1.5,0.2271057367324829
137,2.9845,3.5,0.5155000686645508
138,3.1176145,2.5,0.6176145076751709
139,2.8867364,2.5,0.3867363929748535
140,3.5270364,3.5,0.027036428451538086
141,3.2940896,3.0,0.29408955574035645
142,2.8784602,2.0,0.878460168838501
143,2.546548,2.0,0.5465478897094727
144,3.1655734,3.5,0.3344266414642334
145,2.6086962,3.0,0.39130377769470215
146,1.8111149,1.5,0.3111149072647095
147,3.1249154,3.0,0.12491536140441895
148,3.820429,4.0,0.17957091331481934
149,2.9728954,2.5,0.47289538383483887
150,2.841195,3.0,0.15880489349365234
151,2.8438592,3.5,0.6561408042907715
152,3.7293265,3.5,0.22932648658752441
153,2.8436468,2.5,0.343646764755249
154,2.8777683,3.5,0.6222317218780518
155,3.0950067,4.0,0.9049932956695557
156,3.842345,4.5,0.6576550006866455
157,2.991653,3.0,0.008347034454345703
158,3.2593253,3.5,0.24067473411560059
159,2.6582875,2.5,0.15828752517700195
160,3.5388944,2.5,1.0388944149017334
161,3.429887,3.0,0.429887056350708
162,3.6046934,3.0,0.6046934127807617
163,3.7475758,3.5,0.2475757598876953
164,3.3681803,4.0,0.6318197250366211
165,2.1693494,2.0,0.16934943199157715
166,2.9719234,3.5,0.5280766487121582
167,3.2791183,3.5,0.22088170051574707
168,2.9276016,2.5,0.42760157585144043
169,2.7815309,3.0,0.21846914291381836
170,3.2355208,3.5,0.2644791603088379
171,2.4034493,2.5,0.09655070304870605
172,3.5297267,3.5,0.029726743698120117
173,2.7667563,2.5,0.2667562961578369
174,2.9418733,3.0,0.05812668800354004
175,2.9206727,2.0,0.9206726551055908
176,3.5614934,3.0,0.5614933967590332
177,2.7833915,2.0,0.7833914756774902
178,3.4796207,3.0,0.47962069511413574
179,2.6293755,3.0,0.3706245422363281
180,3.2469194,3.0,0.2469193935394287
181,3.2370956,3.5,0.26290440559387207
182,2.4704769,3.0,0.5295231342315674
183,2.284932,2.0,0.28493189811706543
184,2.7793381,2.0,0.7793381214141846
185,2.9771748,2.5,0.4771747589111328
186,3.2138321,3.0,0.21383213996887207
187,2.490289,2.5,0.009711027145385742
188,3.5723836,4.0,0.4276163578033447
189,2.508313,2.5,0.00831294059753418
190,3.1396112,3.0,0.13961124420166016
191,3.8241851,3.5,0.3241851329803467
192,2.6671598,2.0,0.6671597957611084
193,3.019427,3.0,0.019427061080932617
194,2.6780767,2.0,0.6780767440795898
195,3.3654666,4.0,0.6345334053039551
196,2.3280158,2.5,0.17198419570922852
197,3.021061,3.0,0.021060943603515625
198,3.4388537,3.0,0.43885374069213867
199,2.988609,3.0,0.011390924453735352
200,2.3085089,2.0,0.30850887298583984
201,3.2169523,3.0,0.21695232391357422
202,3.3207152,3.5,0.17928481101989746
203,3.249706,3.5,0.2502939701080322
204,2.8891683,3.0,0.11083173751831055
205,3.837164,5.0,1.1628360748291016
206,2.0780768,2.0,0.07807683944702148
207,3.2113829,3.0,0.21138286590576172
208,2.8720431,3.0,0.12795686721801758
209,2.6429455,2.0,0.6429455280303955
210,2.4813204,2.5,0.01867961883544922
211,2.6383975,3.0,0.3616025447845459
212,3.1038177,3.0,0.10381770133972168
213,3.2653775,3.5,0.23462247848510742
214,2.9937792,3.5,0.506220817565918
215,3.028889,3.0,0.028888940811157227
216,3.665694,3.0,0.665693998336792
217,3.057871,2.5,0.5578711032867432
218,2.2617729,2.0,0.26177287101745605
219,2.9998899,2.0,0.9998898506164551
220,3.2735236,2.5,0.7735235691070557
221,2.8841503,2.5,0.38415026664733887
222,3.1269476,3.0,0.12694764137268066
223,2.9624546,3.0,0.03754544258117676
224,3.1609008,3.0,0.16090083122253418
225,2.9149508,2.5,0.4149508476257324
226,3.0143704,3.0,0.014370441436767578
227,3.1384082,3.0,0.13840818405151367
228,2.8980494,2.5,0.39804935455322266
229,3.224837,3.0,0.224837064743042
230,3.484185,3.5,0.015815019607543945
231,3.582893,3.5,0.08289289474487305
232,3.1410298,2.5,0.6410298347473145
233,2.7094438,3.0,0.2905561923980713
234,2.8980446,3.0,0.10195541381835938
235,2.506338,2.5,0.006337881088256836
236,2.829425,2.0,0.8294250965118408
237,2.4792867,2.5,0.020713329315185547
238,3.2346897,3.0,0.23468971252441406
239,3.2206125,2.5,0.7206125259399414
240,3.1279552,2.5,0.6279551982879639
241,2.3076568,2.5,0.19234323501586914
242,2.9912407,3.0,0.008759260177612305
243,2.450822,2.0,0.450822114944458
244,2.9882643,2.0,0.9882643222808838
245,3.0539308,2.5,0.5539307594299316
246,3.2267833,3.5,0.27321672439575195
247,3.577667,3.0,0.5776669979095459
248,3.136866,3.5,0.36313390731811523
249,2.4819925,2.0,0.4819924831390381
250,3.0221884,4.0,0.9778115749359131
251,2.2253044,2.5,0.27469563484191895
252,3.4509637,3.5,0.049036264419555664
253,1.75168,1.5,0.25168001651763916
254,2.1481786,2.0,0.1481785774230957
255,3.6972086,4.0,0.3027913570404053
256,2.4688907,3.0,0.5311093330383301
257,3.5539334,3.5,0.05393338203430176
258,3.4613602,3.5,0.03863978385925293
259,2.6535013,2.5,0.15350127220153809
260,3.2736921,3.5,0.22630786895751953
261,2.2046986,2.5,0.2953014373779297
262,1.9297013,2.5,0.5702986717224121
263,3.13747,3.0,0.13747000694274902
264,2.4676921,2.0,0.46769213676452637
265,3.383158,3.0,0.38315796852111816
266,2.710764,2.5,0.21076393127441406
267,2.146784,1.0,1.1467840671539307
268,2.4254682,2.5,0.07453179359436035
269,2.636834,2.5,0.13683390617370605
270,3.6858974,4.0,0.3141026496887207
271,3.860871,4.0,0.1391289234161377
272,2.3934336,3.0,0.6065664291381836
273,2.527986,2.0,0.5279860496520996
274,3.3745434,3.0,0.3745434284210205
275,3.7986958,3.5,0.29869580268859863
276,3.4566689,3.0,0.4566688537597656
277,2.9132302,2.5,0.41323018074035645
278,2.6528943,3.0,0.3471057415008545
279,3.4996326,3.0,0.4996325969696045
280,3.5341315,4.0,0.4658684730529785
281,2.4470637,2.0,0.447063684463501
282,2.3102489,2.5,0.18975114822387695
283,3.740878,4.0,0.2591218948364258
284,3.3281045,2.5,0.8281044960021973
285,3.0825832,3.5,0.4174168109893799
286,2.7995527,3.0,0.20044732093811035
287,3.2811534,3.5,0.21884655952453613
288,3.2398858,4.5,1.2601141929626465
289,3.1374369,2.5,0.6374368667602539
290,3.3332493,3.5,0.16675066947937012
291,3.6323273,3.5,0.13232731819152832
292,2.2882123,2.0,0.28821229934692383
293,2.6450691,3.0,0.3549308776855469
